Frame;TotalDC;TotalAC;TotalMV;TotalEntropy
199;5572;185244;2339;193155
200;8250;259776;0;271194
201;5760;201609;2789;210158
202;5470;193365;2463;201298
203;5438;188768;2361;196567
204;5327;185912;2285;193524
205;5291;180372;2280;187943
206;5228;179276;2249;186753
207;5208;177708;2237;185153
208;8272;262681;0;274121
209;5585;202186;2688;210459
210;5451;193721;2410;201582
211;5369;189418;2377;197164
212;5349;186752;2360;194461
213;5345;185408;2408;193161
214;5432;185947;2365;193744
215;5492;184994;2364;192850
216;8172;262669;0;274009
217;5855;204534;2880;213269
218;5547;194539;2682;202768
219;5630;191417;2531;199578
220;5576;187442;2470;195488
221;5474;186395;2397;194266
222;5378;181635;2297;189310
223;5278;179466;2255;186999
224;8227;262849;0;274244
225;5484;198395;2581;206460
226;5310;189871;2360;197541
227;5294;186806;2262;194362
228;5219;180257;2180;187656
229;5143;176826;2156;184125
230;5123;174773;2159;182055
231;5141;176967;2257;184365
232;8263;262572;0;274003
233;5667;203534;2634;211835
234;5379;192736;2491;200606
235;5390;187329;2391;195110
236;5387;184869;2291;192547
237;5366;180633;2308;188307
238;5338;180761;2311;188410
239;5294;176780;2252;184326
240;8067;261447;0;272682
241;5434;196004;2595;204033
242;5264;187752;2373;195389
243;5341;184789;2332;192462
244;5421;181671;2373;189465
245;5522;182776;2386;190684
246;5655;182688;2531;190874
247;5679;184025;2547;192251
248;8193;262253;0;273614
249;5812;204552;2852;213216
250;5519;192297;2516;200332
251;5558;193092;2428;201078
252;5422;188258;2284;195964
253;5310;182294;2233;189837
254;5262;179807;2224;187293
255;5173;177640;2218;185031
256;8219;266609;0;277996
257;5579;202471;2602;210652
258;5323;191243;2398;198964
259;5293;186600;2321;194214
260;5291;188996;2384;196671
261;5314;184599;2318;192231
262;5302;184353;2326;191981
263;5342;184099;2311;191752
264;8362;264187;0;275717
265;5511;202715;2665;210891
266;5321;191059;2418;198798
267;5220;185872;2343;193435
268;5222;181111;2344;188677
269;5152;178403;2186;185741
270;5154;178968;2221;186343
271;5067;173152;2120;180339
272;8173;262854;0;274195
273;5325;196952;2488;204765
274;5092;184233;2267;191592
275;5131;181336;2273;188740
276;5177;180460;2244;187881
277;5242;181974;2262;189478
278;5256;180018;2325;187599
279;5381;179685;2316;187382
280;8225;263907;0;275300
281;5672;201866;2700;210238
282;5266;190210;2485;197961
283;5302;185779;2416;193497
284;5257;183276;2388;190921
285;5313;181517;2304;189134
286;5333;181532;2389;189254
287;5372;180964;2358;188694
288;8222;262221;0;273611
289;5642;202718;2689;211049
290;5382;192054;2436;199872
291;5280;186781;2328;194389
292;5288;181122;2351;188761
293;5228;179434;2258;186920
294;5251;179406;2263;186920
295;5288;177982;2227;185497
296;8159;262254;0;273581
297;5675;198475;2617;206767
298;5375;187088;2421;194884
299;5276;181966;2361;189603
